Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Skoda,Fabia,2012,Universal,212700.0,1200.0,Diesel,Manual,5450.0,10,q4,21270.0,21270.0,4545.941176470588
Opel,Astra,2005,Universal,270000.0,1800.0,Petrol,Manual,3500.0,17,q3,15882.0,45900.0,6300.0
Volkswagen,Passat CC,2013,Sedan,60000.0,2000.0,Petrol,Automatic,12700.0,9,q1,6667.0,5400.0,2689.4117647058824
Lexus,RX Series,2005,SUV,178000.0,2989.0,Metan/Propan,Automatic,9800.0,17,q2,10471.0,30260.0,11629.333333333334
Chevrolet,Rare,2011,Crossover,90000.0,2200.0,Diesel,Automatic,13300.0,11,q1,8182.0,9900.0,5163.529411764706
Toyota,Avensis,2014,Sedan,143000.0,2000.0,Diesel,Manual,11700.0,8,q3,17875.0,11440.0,5248.941176470588
Mercedes,Rare,2017,SUV,47000.0,3000.0,Petrol,Automatic,54000.0,5,q1,9400.0,2350.0,4976.470588235294
Mercedes,E Class,2008,Sedan,230000.0,1800.0,Metan/Propan,Automatic,7800.0,14,q3,16429.0,32200.0,9849.411764705883
Rare,Rare,2007,Sedan,194777.0,2000.0,Petrol,Automatic,5000.0,15,q2,12985.0,29216.55,5728.735294117647
Skoda,Octavia,2008,Universal,200000.0,1900.0,Diesel,Manual,5000.0,14,q2,14286.0,28000.0,5490.196078431372
Toyota,Rare,2016,Hatchback,144000.0,1800.0,Hybrid,Automatic,12300.0,6,q4,24000.0,8640.0,4167.529411764706
Volvo,Altele,1995,Hatchback,5000.0,2400.0,Diesel,Manual,1700.0,27,q1,185.0,1350.0,90.0
Mercedes,E Class,2002,Sedan,256000.0,2700.0,Diesel,Automatic,5500.0,20,q2,12800.0,51200.0,11043.137254901962
BMW,X5,2005,SUV,193000.0,3000.0,Diesel,Automatic,11850.0,17,q2,11353.0,32810.0,15247.0
Opel,Astra,2006,Hatchback,250000.0,1300.0,Diesel,Manual,4500.0,16,q3,15625.0,40000.0,7058.823529411765
Volkswagen,Jetta,2015,Sedan,173000.0,1400.0,Petrol,Automatic,8600.0,7,q4,24714.0,12110.0,4084.156862745098
BMW,X5,2015,SUV,185000.0,2999.0,Diesel,Automatic,34000.0,7,q4,26429.0,12950.0,17266.666666666668
Toyota,Land Cruiser Prado,2006,SUV,220000.0,2700.0,Metan/Propan,Automatic,13500.0,16,q2,13750.0,35200.0,18635.29411764706
Nissan,Micra,2018,Hatchback,95000.0,900.0,Petrol,Manual,10500.0,4,q4,23750.0,3800.0,1564.7058823529412
Hyundai,Santa FE,2011,Crossover,169000.0,2200.0,Diesel,Automatic,13990.0,11,q3,15364.0,18590.0,10198.98431372549
BMW,5 Series,2012,Sedan,200000.0,2000.0,Petrol,Automatic,11500.0,10,q4,20000.0,20000.0,9019.607843137255
KIA,Optima,2014,Sedan,60000.0,2000.0,Metan/Propan,Automatic,9900.0,8,q1,7500.0,4800.0,1863.5294117647059
Volkswagen,Caddy,2009,Minivan,276555.0,1595.0,Petrol,Manual,9500.0,13,q4,21273.0,35952.15,13393.938235294117
Opel,Astra,2005,Universal,227000.0,1600.0,Metan/Propan,Manual,4650.0,17,q2,13353.0,38590.0,7037.0
Mitsubishi,Rare,2003,Crossover,230000.0,1800.0,Metan/Propan,Automatic,4900.0,19,q2,12105.0,43700.0,8397.254901960785
KIA,Rare,2010,Universal,150000.0,1400.0,Petrol,Manual,6000.0,12,q2,12500.0,18000.0,4235.294117647059
Renault,Grand Scenic,2004,Universal,139000.0,1500.0,Diesel,Manual,3700.0,18,q1,7722.0,25020.0,3630.3529411764707
Mercedes,C Class,2012,Sedan,206000.0,2200.0,Diesel,Manual,14399.0,10,q4,20600.0,20600.0,11632.133333333333
Mercedes,M Class,2013,SUV,77000.0,2500.0,Diesel,Automatic,27900.0,9,q1,8556.0,6930.0,7582.235294117647
Renault,Megane,2014,Universal,139200.0,1490.0,Diesel,Automatic,7200.0,8,q3,17400.0,11136.0,3144.2823529411767
Mercedes,Rare,2017,Sedan,40000.0,2000.0,Petrol,Automatic,16999.0,5,q1,8000.0,2000.0,1333.2549019607843
Nissan,Qashqai,2016,Crossover,185000.0,1500.0,Diesel,Manual,13000.0,6,q4,30833.0,11100.0,5658.823529411765
Volkswagen,Golf,2015,Hatchback,157000.0,1400.0,Plug-in Hybrid,Automatic,13500.0,7,q4,22429.0,10990.0,5818.235294117647
Audi,A4,2011,Universal,1234.0,2000.0,Petrol,Automatic,9500.0,11,q1,112.0,135.74,50.56980392156863
Renault,Rare,2013,SUV,145000.0,1200.0,Petrol,Automatic,8800.0,9,q3,16111.0,13050.0,4503.529411764706
Toyota,Auris,2013,Universal,177800.0,1400.0,Diesel,Manual,8500.0,9,q4,19756.0,16002.0,5334.0
